Rank,Feature,Importance mean,Importance std.
1,Open,1.5831354300183555,0.21710170044277705
2,Promo,0.09016145869065328,0.014864538370358834
3,SalesLag1,0.02939674064790917,0.008950929100535967
4,Day,0.018109975029649127,0.009578351719222406
5,DayOfWeek,0.006906057186993997,0.005636043079132775
6,SalesLag14,0.00489997653187294,0.0035942867701819732
7,RollingStd14,0.004519802062078959,0.001599809131519465
8,RollingMean14,0.0006722626707867607,0.001691874368636565
9,WeekOfYear,0.0004621912326599253,0.0011334405243222589
10,RollingMean28,0.00019281777219878337,0.00048591257971518234
11,RollingMean7,0.00013754873075336738,0.0014911494067018389
12,IsMonthStart,7.729001322633877e-05,0.0002728080497247789
13,Store,0.0,0.0
14,CompetitionOpenSinceYear,0.0,0.0
15,CompetitionOpenSinceMonth,0.0,0.0
16,CompetitionDistance,0.0,0.0
17,Assortment_c,0.0,0.0
18,CompetitionOpenMonths,0.0,0.0
19,Promo2SinceYear,0.0,0.0
20,Year,0.0,0.0
21,StateHoliday_a,0.0,0.0
22,Promo2AgeWeeks,0.0,0.0
23,Promo2,0.0,0.0
24,Promo2SinceWeek,0.0,0.0
25,"PromoInterval_Mar,Jun,Sept,Dec",0.0,0.0
26,"PromoInterval_Jan,Apr,Jul,Oct",0.0,0.0
27,StoreType_d,0.0,0.0
28,Assortment_b,0.0,0.0
29,StateHoliday_c,0.0,0.0
30,StateHoliday_b,0.0,0.0
31,StoreType_c,0.0,0.0
32,StoreType_b,0.0,0.0
33,PromoInterval_None,0.0,0.0
34,Quarter,-5.9127060889663244e-05,5.808079100331801e-05
35,Month,-0.00011325449343524419,0.00024420716945857453
36,IsWeekend,-0.0004209317842249316,0.0014628042779906002
37,RollingStd28,-0.0005628729468134975,0.0016163717179527534
38,SchoolHoliday,-0.0006053457529391904,0.0009757583651600563
39,RollingStd7,-0.0008633554470623527,0.0017215055890137572
40,SalesLag7,-0.0021317937352819728,0.0013213441986603056
